programa_propio,generica_sies,area_sies,nivel_condicion,isced_amplio_cod,isced_amplio,isced_estrecho_cod,isced_estrecho,isced_detallado_cod,isced_detallado,dist_niveles_sies,n_programas_sies_2026
Periodismo,Periodismo,Ciencias Sociales,profesional_con_grado,03,"Social sciences, journalism and information",032,Journalism and information,0321,Journalism and reporting,profesional_con_grado 100.0%,71.0
Piloto Comercial,Otros Profesionales de Tecnología,Tecnología,profesional,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0716,"Motor vehicles, ships and aircraft",,
Psicología,Psicología,Ciencias Sociales,profesional_con_grado,03,"Social sciences, journalism and information",031,Social and behavioural sciences,0313,Psychology,profesional_con_grado 100.0%,196.0
Psicopedagogía,Psicopedagogía,Educación,profesional | profesional_con_grado | licenciatura,01,Education,011,Education,0111,Education science,profesional 84.5% | profesional_con_grado 15.0% | licenciatura 0.5%,206.0
Publicidad,Publicidad,Ciencias Sociales,profesional | profesional_con_grado,04,"Business, administration and law",041,Business and administration,0414,Marketing and advertising,profesional 53.2% | profesional_con_grado 46.8%,47.0
Quiropraxia,Otros Profesionales de Salud,Salud,profesional_con_grado,09,Health and welfare,091,Health,0915,Therapy and rehabilitation,,
Química Industrial,Química Industrial,Tecnología,profesional_con_grado,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0711,Chemical engineering and processes,profesional_con_grado 100.0%,4.0
Química y Farmacia,Química y Farmacia,Salud,profesional_con_grado,09,Health and welfare,091,Health,0916,Pharmacy,profesional_con_grado 100.0%,40.0
"Química, Licenciado en Química","Química, Licenciado en Química",Ciencias Básicas,profesional_con_grado | licenciatura,05,"Natural sciences, mathematics and statistics",053,Physical sciences,0531,Chemistry,profesional_con_grado 80.0% | licenciatura 20.0%,15.0
Realizador de Cine y Televisión,Realizador de Cine y Televisión,Arte y Arquitectura,profesional | profesional_con_grado | licenciatura,02,Arts and humanities,021,Arts,0211,Audio-visual techniques and media production,profesional 5.6% | profesional_con_grado 83.3% | licenciatura 11.1%,18.0
Relaciones Públicas,Relaciones Públicas,Ciencias Sociales,profesional | profesional_con_grado,04,"Business, administration and law",041,Business and administration,0414,Marketing and advertising,profesional 66.7% | profesional_con_grado 33.3%,45.0
Secretariado Bilingüe,Secretariado Bilingüe,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0415,Secretarial and office work,tecnico 100.0%,7.0
Secretariado Ejecutivo,Secretariado Ejecutivo,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0415,Secretarial and office work,tecnico 100.0%,14.0
Sociología,Sociología,Ciencias Sociales,profesional_con_grado,03,"Social sciences, journalism and information",031,Social and behavioural sciences,0314,Sociology and cultural studies,profesional_con_grado 100.0%,33.0
Tecnología Médica,Tecnología Médica,Salud,profesional_con_grado,09,Health and welfare,091,Health,0914,Medical diagnostic and treatment technology,profesional_con_grado 100.0%,56.0
Teología,Otros Profesionales de Humanidades,Humanidades,profesional_con_grado,02,Arts and humanities,022,Humanities (except languages),0221,Religion and theology,,
Terapia Ocupacional,Terapia Ocupacional,Salud,profesional | profesional_con_grado | licenciatura,09,Health and welfare,091,Health,0915,Therapy and rehabilitation,profesional 6.3% | profesional_con_grado 92.4% | licenciatura 1.3%,79.0
Trabajo Social,Trabajo Social,Ciencias Sociales,profesional | profesional_con_grado | licenciatura,09,Health and welfare,092,Welfare,0923,Social work and counselling,profesional 44.9% | profesional_con_grado 40.3% | licenciatura 14.9%,477.0
Traducción e Interpretación,Traducción e Interpretación,Humanidades,profesional | profesional_con_grado,02,Arts and humanities,023,Languages,0232,Literature and linguistics,profesional 37.5% | profesional_con_grado 62.5%,56.0
Técnico Agente o Visitador Médico,Técnico Agente o Visitador Médico,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0416,Wholesale and retail sales,tecnico 100.0%,5.0
Técnico Agropecuario,Técnico Agropecuario,Agropecuaria,tecnico,08,"Agriculture, forestry, fisheries and veterinary",081,Agriculture,0811,Crop and livestock production,tecnico 100.0%,142.0
Técnico Asistente del Educador Diferencial,Técnico Asistente del Educador Diferencial,Educación,tecnico,01,Education,011,Education,0114,Teacher training with subject specialisation,tecnico 100.0%,212.0
Técnico Asistente del Educador de Párvulos,Técnico Asistente del Educador de Párvulos,Educación,tecnico,01,Education,011,Education,0112,Training for pre-school teachers,tecnico 100.0%,429.0
Técnico Dental y Asistente de Odontología,Técnico Dental y Asistente de Odontología,Salud,tecnico,09,Health and welfare,091,Health,0911,Dental studies,tecnico 100.0%,104.0
Técnico Jurídico,Técnico Jurídico,Derecho,tecnico,04,"Business, administration and law",042,Law,0421,Law,tecnico 100.0%,106.0
Técnico Veterinario,Técnico Veterinario,Agropecuaria,tecnico,08,"Agriculture, forestry, fisheries and veterinary",084,Veterinary,0841,Veterinary,tecnico 100.0%,57.0
Técnico en Acuicultura y Pesca,Técnico en Acuicultura y Pesca,Agropecuaria,tecnico,08,"Agriculture, forestry, fisheries and veterinary",083,Fisheries,0831,Fisheries,tecnico 100.0%,12.0
Técnico en Administración Financiera y Finanzas,Técnico en Administración Financiera y Finanzas,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0412,"Finance, banking and insurance",tecnico 100.0%,130.0
Técnico en Administración de Empresas,Técnico en Administración de Empresas,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0413,Management and administration,tecnico 100.0%,945.0
Técnico en Administración de Recursos Humanos y Personal,Técnico en Administración de Recursos Humanos y Personal,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0413,Management and administration,tecnico 100.0%,169.0
Técnico en Administración de Redes y Soporte,Técnico en Administración de Redes y Soporte,Tecnología,tecnico,06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0612,Database and network design and administration,tecnico 100.0%,148.0
Técnico en Administración de Ventas,Técnico en Administración de Ventas,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0416,Wholesale and retail sales,tecnico 100.0%,55.0
Técnico en Administración en Marketing,Técnico en Administración en Marketing,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0414,Marketing and advertising,tecnico 100.0%,103.0
Técnico en Alimentos,Técnico en Alimentos,Tecnología,tecnico,07,"Engineering, manufacturing and construction",072,Manufacturing and processing,0721,Food processing,tecnico 100.0%,37.0
Técnico en Análisis de Sistemas,Técnico en Análisis de Sistemas,Tecnología,tecnico,06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0613,Software and applications development and analysis,tecnico 100.0%,15.0
Técnico en Biotecnología Industrial,Técnico en Biotecnología Industrial,Tecnología,tecnico,07,"Engineering, manufacturing and construction",071,Engineering and engineering trades,0711,Chemical engineering and processes,tecnico 100.0%,2.0
Técnico en Comercio Exterior,Técnico en Comercio Exterior,Administración y Comercio,tecnico,04,"Business, administration and law",041,Business and administration,0416,Wholesale and retail sales,tecnico 100.0%,96.0
Técnico en Computación e Informática,Técnico en Computación e Informática,Tecnología,tecnico,06,Information and Communication Technologies (ICTs),061,Information and Communication Technologies (ICTs),0613,Software and applications development and analysis,tecnico 100.0%,539.0
